merchant_raw,category_id,amount_cents,notes
Internet Banking E-TRANSFER 011651550613 SATHVIK DIVILI,,25000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011654884429 swathi,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011657818923 swathi,,2300,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011660727683 Koushik Sivarama Krishnan,,200000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011667220589 SATHVIK DIVILI,,40000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011669290503 Koushik Sivarama Krishnan,,160498,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011675092995 Koushik Sivarama Krishnan,,170000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 011696632321 Koushik Sivarama Krishnan,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104689136705 paul,,80000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104704198945 manisha,,850,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104710832370 paul,,80000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104723666292 Jheel Shah,,500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104734285182 Sathvik,,2650,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104734295029 Sadhik,,512,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104740850903 Manisha rani,,1170,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104746786249 paul,,80000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104775876060 Sadhik,,20000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104780909995 paul,,5393,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104780910355 paul,,3838,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104780910497 paul,,80000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104784333812 RAHUL BHATTACHARJEE,,2500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104808138048 Sadhik,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104809461453 Sadhik,,200000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104810826722 swathi,,24000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104818914403 Joe,,39166,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104819889128 joe,,41500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104825346864 paul,,18757,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104835055022 Joe,,78330,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104870377977 Joe,,78330,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104901952326 Joe,,78333,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104941419020 Joe,,78333,transfer/exclude if internal movement
Internet Banking E-TRANSFER 104958540089 Joe,,78333,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105004610560 Sadhik,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105010355619 Sathvik,,200000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105016441932 Joe,,40000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105042104522 Sathvik,,280000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105045758904 Vyshnavi,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105089967790 Joe,,78333,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105097561750 Reza,,62500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105102355148 Vyshnavi,,5000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105105837820 Sathvik,,10000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105106286087 Vyshnavi,,30000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105116966177 Jheel,,150000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105116991627 Joe,,150000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105118437803 Vyshnavi,,160000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105118438229 Joe,,70000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105125435032 Vyshnavi,,170000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105125620302 Vyshnavi,,130000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105129262264 Reza,,125000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105129267119 Sadhik,,12200,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105131205540 Vyshnavi,,70000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105149448791 Vyshnavi,,250000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105152493591 Sathvik,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105165809694 Reza,,125000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105205425068 Reza,,125000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105224025887 One-time contact,,1700,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105243294057 Reza,,125000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105249142383 Joe,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105265106962 Pacific Coast,,46250,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105269077604 Sadhik,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105284632321 Pacific Coast,,92500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105306796413 Vyshnavi,,250000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105326733481 Pacific Coast,,92500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105326982782 Pacific Coast,,5304,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105339609156 Sadhik,,20000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105342911249 Oshin,,2054,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105358802033 Pacific Coast,,92500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105358814319 Pacific Coast,,6304,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105397026460 One-time contact Koushik,,2000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105397081907 Pacific Coast,,11338,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105400134169 Pacific Coast,,92500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105438118774 Pacific Coast,,92500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105438122185 Pacific Coast,,3704,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105456354870 One-time contact Ram,,5000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105480209975 Pacific Coast,,92500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105480211533 Pacific Coast,,8434,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105519183516 Pacific Coast,,92500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105519185704 Pacific Coast,,716,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105560526303 Pacific Coast,,92500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105560682353 Pacific Coast,,6212,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105583684812 Swathi,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105588077665 Swathi,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105605442587 Sathvik,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105618781672 Hari Anna,,89297,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105655360057 Swathi,,71500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105681473439 Swathi,,71500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105687863166 Sathvik,,100000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105725925875 Swathi,,71500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105743546103 Swathi,,300000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105759222347 Swathi,,150000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105760683803 Swathi,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105774730686 Swathi,,271500,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105776736040 Sathvik,,100000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105801944102 Sathvik,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105897568747 Koushik Sivarama Krishnan,,100000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105935240572 Koushik Sivarama Krishnan,,150000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105942694108 rajesh bro,,11600,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105943984106 rajesh bro,,11600,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105946419263 Jin Ying Sun,,85000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105947310147 Koushik Sivarama Krishnan,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105947917027 rajesh bro,,33200,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105950894357 Swathi,,50000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 105972165245 Jin Ying Sun,,170000,transfer/exclude if internal movement
Internet Banking E-TRANSFER 106001023942 Swathi,,300000,transfer/exclude if internal movement
Internet Banking FULFILL REQUEST 011687598129 Koushik Sivarama Krishnan,,46000,
Internet Banking FULFILL REQUEST 105164692519 Koushik Sivarama Krishnan,,2000,
Internet Banking FULFILL REQUEST 105167047603 Koushik Sivarama Krishnan,,9000,
Internet Banking FULFILL REQUEST 105236398985 Koushik Sivarama Krishnan,,40000,
Internet Banking FULFILL REQUEST 105267043632 Koushik Sivarama Krishnan,,20000,
Internet Banking FULFILL REQUEST 105344842530 Koushik Sivarama Krishnan,,50000,
Internet Banking FULFILL REQUEST 105366662954 Koushik Sivarama Krishnan,,25000,
Internet Banking FULFILL REQUEST 105423716740 Koushik Sivarama Krishnan,,25000,
Internet Banking FULFILL REQUEST 105446307798 Koushik Sivarama Krishnan,,50000,
Internet Banking FULFILL REQUEST 105650271710 Koushik Sivarama Krishnan,,90000,
Internet Banking INTERNET BILL PAY 000000120599 UNIVERSITY OF VICTORIA TU,,104022,
Internet Banking INTERNET BILL PAY 000000121735 UNIVERSITY OF VICTORIA TU,,183967,
Internet Banking INTERNET BILL PAY 000000211129 UNIVERSITY OF VICTORIA TU,,106135,
Internet Banking INTERNET GLOBAL MONEY TRANSFER FEE $0.00 429315144279 219866.20 INR @ 0,,368100,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000100326,,20733,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000100782,,220000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000100843,,22509,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000101419,,80000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000101676,,62010,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000101693,,80000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000102943,,15428,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000104280,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000104797 FROM ACCOUNT 00930/****233,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000104797 TO ACCOUNT 04930/****194,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000105079,,20000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000105751,,100000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000106621,,33780,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000108262,,80000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000110759,,24488,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000112166,,20000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000112252 FROM ACCOUNT 00930/****233,,170000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000112252 TO ACCOUNT 04930/****194,,170000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000112611,,9131,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000113127,,20000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000113521,,600000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000113712,,9437,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000113870,,100000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000114246,,602,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000114440,,60000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000114598,,6573,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000114733,,250000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000114852,,13087,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000114860,,3968,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000115866,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000116709,,50000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000116973,,150000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000117937,,270000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000117995 FROM ACCOUNT 00930/****233,,100000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000118873,,20000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000119118,,9007,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000119142,,300000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000119785,,80000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000120082 FROM ACCOUNT 00930/****233,,40000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000120082 TO ACCOUNT 04930/****194,,40000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000120639,,180000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000121026,,20000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000121454,,250000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000122159,,50000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000122899,,80000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000124650,,160000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000125094,,80000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000125736,,50000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000125923,,60000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000125973,,2401,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000126274,,350000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000127410,,80000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000127598,,20000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000127867,,5145,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000129395,,150000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000129414,,26800,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000129520,,100000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000129657,,14374,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000129680,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000129815,,50000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000131729,,100000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000132258,,64000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000132295,,70000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000133286,,50000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000133758,,17927,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000134855,,30000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000134900,,71500,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000135006,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000135957,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000136109,,602,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000136583,,5000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000137217,,10000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000137529,,70000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000137576,,7388,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000137599,,80000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000138226,,80000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000138262,,100000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000138383,,30000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000138731,,30000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000139336 FROM ACCOUNT 00930/****233,,160498,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000139336 TO ACCOUNT 04930/****194,,160498,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000139541,,10000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000139922,,5687,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000200620,,20000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000201489,,100000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000202161,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000202462,,20000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000203705 TO CARD 4505********1001,,105742,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000204763,,250000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000205237,,150000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000206167,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000206332,,18300,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000207958,,4439,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000209502,,18886,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000209817,,100000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000210050,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000210343,,23068,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000210836,,9945,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000211120,,300000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000211391,,8000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000212244,,150000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000212334,,5000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000212388,,10571,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000213178 FROM ACCOUNT 00930/****233,,2367,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000213178 TO ACCOUNT 04930/****194,,2367,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000213579,,275000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000214596,,20000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000215058,,350000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000215420,,1500,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000218080,,180000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000218154,,55000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000219251,,27683,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000220117,,16263,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000220329,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000220687,,30000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000220896,,300000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000221358,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000222460,,16000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000223069,,50000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000223443,,200000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000223645,,1596,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000223989,,46233,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000224258,,300000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000224361,,23043,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000225079,,17216,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000225377,,30000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000227263,,12466,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000227533,,80000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000227766 TO CARD 4505********1001,,63316,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000228843,,70000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000229665,,170000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000230323,,150000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000231759,,14127,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000232141,,18891,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000232368,,50000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000232797,,190000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000233342,,40000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000235596,,6268,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000236886,,8400,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000237740,,5104,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000238417,,20000,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000238937,,11352,transfer/exclude if internal movement
Internet Banking INTERNET TRANSFER 000000239758,,47372,transfer/exclude if internal movement
INTERNET LIGHTSPEED BUR BURNABY,,6491,
IPARTY DOLLAR STORE 406 BURNABY,,1091,
"ITALIAN CENTRE SHOP 01 EDMONTON, AB",,1153,
JAVA CAFE AND BAKERY 41 EDMONTON,,2201,
"JEYA BROTHERS VANCOUVER, BC",,8117,
JM HILLSIDE HOLDINGS LT VICTORIA,,524,
JOBRIGHT.AI             SANTA CLARA,,4215,
JUGO JUICE - 2128 41059 EDMONTON,,53,
"JUGO JUICE - 2205 BURNABY, BC",,1150,
KFC EDMONTON CENTRE KFC EDMONTON,,1679,
KFC KINGSWAY GARDEN M K EDMONTON,,1364,
"KI-TEA HOUSE CAFE BURNABY, BC",,663,
"KIN'S FARM MARKET DAV VANCOUVER, BC",,540,
"KIOKII.. SOUTHGATE EDMONTON, AB",,4304,
KITSILANO               VANCOUVER,,1438,
KIWI.COM 524335         BRNO,,19699,
KPN FARM FRESH PVT LTD  600040,,109,
La Buche                QUEBEC,,9358,
LA FUDGERIE LA FUDGERIE QUEBEC,,575,
LA LUTINERIE DE MONTREA Montreal,,1610,
LA ROUX PATISSERIE      Victoria,,394,
LANDMARK CINEMAS        CALGARY,,692,
LANDMARK WEB TICKETIN   403-262-4255,,3098,
LEE'S DONUTS GRANVILLE  Vancouver,,750,
LIME*RIDE MPUH          SAN FRANCISCO,,1889,
LIME*RIDE MPUH          VANCOUVER,,1488,
LINKEDINPREB *99826146  MOUNTAIN VIEW,,31987,
"LOBLAWS CITY MARKET YI EDMONTON, AB",,318,
LOCAL PIZZA - HILLSIDE  Victoria,,335,
LOCAL PIZZA LOCAL PIZZA Victoria,,733,
"LOCAL PIZZA VICTORIA, BC",,771,
LONDON DRUGS #7         VANCOUVER,,1800,
"LONDON DRUGS 71 BURNABY, BC",,3989,
LS DAVES HOT CHICKEN    EDMONTON,,3229,
LS DAVES HOT CHICKEN    VICTORIA,,1846,
LUCKY SUPERMARKET 97    EDMONTON,,7018,
"LUFTHANSA 2202202987255 TORONTO, ON",,210216,
LYFT   *AIRPORT 05-23   VANCOUVER,,4297,
LYFT   *AIRPORT 06-14   VANCOUVER,,4414,
LYFT   *AIRPORT 06-24   VANCOUVER,,4993,
LYFT   *AIRPORT 06-27   VANCOUVER,,4194,
LYFT   *CANC FEE 07-23  VANCOUVER,,105,
LYFT   *CANCEL FEE      VANCOUVER,,420,
LYFT   *RIDE FRI 12PM   VANCOUVER,,894,
LYFT   *RIDE FRI 1PM    VANCOUVER,,797,
LYFT   *RIDE FRI 3PM    VANCOUVER,,1343,
LYFT   *RIDE FRI 6PM    VANCOUVER,,395,
LYFT   *RIDE FRI 7PM    VANCOUVER,,1299,
LYFT   *RIDE FRI 8PM    VANCOUVER,,728,
LYFT   *RIDE FRI 9PM    VANCOUVER,,153,
LYFT   *RIDE MON 1PM    VANCOUVER,,4997,
LYFT   *RIDE SAT 10PM   VANCOUVER,,3689,
LYFT   *RIDE SAT 12PM   VANCOUVER,,492,
LYFT   *RIDE SAT 1PM    VANCOUVER,,798,
LYFT   *RIDE SAT 2PM    VANCOUVER,,894,
LYFT   *RIDE SAT 3PM    VANCOUVER,,493,
LYFT   *RIDE SAT 4PM    VANCOUVER,,693,
LYFT   *RIDE SAT 5PM    VANCOUVER,,1393,
LYFT   *RIDE SAT 6AM    VANCOUVER,,493,
LYFT   *RIDE SAT 6PM    VANCOUVER,,996,
LYFT   *RIDE SAT 9PM    VANCOUVER,,493,
LYFT   *RIDE SUN 12AM   VANCOUVER,,1792,
LYFT   *RIDE SUN 12PM   VANCOUVER,,592,
LYFT   *RIDE SUN 1AM    VANCOUVER,,1998,
LYFT   *RIDE SUN 1PM    VANCOUVER,,491,
LYFT   *RIDE SUN 2PM    VANCOUVER,,534,
LYFT   *RIDE SUN 5PM    VANCOUVER,,798,
LYFT   *RIDE SUN 6PM    VANCOUVER,,534,
LYFT   *RIDE SUN 7PM    VANCOUVER,,1299,
LYFT   *RIDE SUN 8PM    VANCOUVER,,493,
LYFT   *RIDE THU 10AM   VANCOUVER,,7598,
LYFT   *RIDE THU 4AM    VANCOUVER,,3956,
LYFT   *RIDE THU 7PM    VANCOUVER,,992,
LYFT   *RIDE THU 8PM    VANCOUVER,,699,
LYFT   *RIDE TUE 3PM    VANCOUVER,,892,
LYFT   *RIDE TUE 4PM    VANCOUVER,,897,
LYFT   *RIDE TUE 5PM    VANCOUVER,,994,
LYFT   *RIDE WED 10AM   VANCOUVER,,492,
LYFT   *RIDE WED 5PM    VANCOUVER,,495,
LYFT   *RIDE WED 6PM    VANCOUVER,,496,
LYFT   *RIDE WED 7PM    VANCOUVER,,498,
LYFT   *RIDE WED 8PM    VANCOUVER,,491,
LYFT   *RIDE WED 9PM    VANCOUVER,,526,
LYFT   *STANDARD 05-13  VANCOUVER,,491,
LYFT   *STANDARD 05-14  VANCOUVER,,594,
LYFT   *STANDARD 05-19  VANCOUVER,,697,
LYFT   *STANDARD 05-22  VANCOUVER,,492,
LYFT   *STANDARD 06-01  VANCOUVER,,1792,
LYFT   *STANDARD 06-13  VANCOUVER,,1345,
LYFT   *STANDARD 06-26  VANCOUVER,,892,
LYFT   *STANDARD 07-08  VANCOUVER,,2498,
LYFT   *STANDARD 07-10  VANCOUVER,,997,
LYFT   *STANDARD 07-17  VANCOUVER,,2892,
LYFT   *STANDARD 07-22  VANCOUVER,,1973,
LYFT   *WAITSAVE 05-17  VANCOUVER,,944,
LYFT   *WAITSAVE 05-19  VANCOUVER,,497,
LYFT   *WAITSAVE 05-23  VANCOUVER,,699,
LYFT   *WAITSAVE 06-12  VANCOUVER,,5795,
"M & D GROCERY BURNABY, BC",,670,
MADE BY MARCUS MILLCREE Edmonton,,3500,
